experiment,normalized_editdistance
drop_10,0.21224465837050951
drop_50,0.2345997830291024
drop_75,0.4934504017323599
delay_rand_10,0.4959563856540644
delay_rand_50,0.8509119062491752
delay_seq_25,0.847834727434186
